FECDIA,CODAGENTEVIABCP,CONSULTA DE 3 ULTIMAS OPE PROCESADOS,CONSULTA DE MOVIMIENTOS PROCESADOS,CONSULTA DE MOVIMIENTOS RECHAZADOS,CONSULTA DE SALDOS PROCESADOS,CONSULTA DE SALDOS RECHAZADOS,DEPOSITOS PROCESADOS,DEPOSITOS RECHAZADOS,DESCARGO DE GIROS PROCESADOS,DESCARGO DE GIROS RECHAZADOS,EMISION DE GIRO PROCESADOS,EMISION DE GIRO RECHAZADOS,REPORTE CIERRE PROCESADOS,REPORTE CIERRE RECHAZADOS,RETIROS PROCESADOS,RETIROS RECHAZADOS
2020-10-16,H988607,0,2,0,4,0,29,0,0,0,0,0,2,0,30,2
2020-10-16,H988626,0,5,0,2,0,17,3,0,0,0,0,1,0,19,2
2020-10-16,H988668,0,1,0,3,0,24,1,0,0,0,0,6,0,13,3
2020-10-17,H988571,0,2,2,5,0,9,1,0,0,0,0,1,0,16,0
2020-10-17,H988578,0,8,3,5,1,5,0,0,0,0,0,0,0,1,0
2020-10-17,H988600,0,2,0,3,0,11,0,0,0,0,0,4,0,24,1
2020-10-17,H988607,0,1,0,3,2,25,2,0,0,0,0,11,0,25,1
2020-10-17,H988610,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0
2020-10-17,H988625,0,1,0,5,0,2,0,0,0,0,0,1,0,3,0
2020-10-17,H988626,0,8,0,2,1,25,0,0,0,0,0,1,0,49,5
2020-10-17,H988644,0,0,0,23,1,5,0,0,0,0,0,1,0,45,11
2020-10-17,H988668,0,2,0,3,0,22,1,0,0,0,0,8,0,19,2
2020-10-18,H988571,0,2,1,2,0,10,0,0,0,0,0,1,0,24,0
2020-10-18,H988600,0,2,0,1,0,20,0,0,0,0,0,2,0,43,4
2020-10-18,H988607,0,4,0,6,1,18,0,0,0,0,0,4,0,30,5
2020-10-19,H988571,0,2,0,1,0,13,0,0,0,0,0,1,0,22,3
2020-10-19,H988575,0,4,0,0,0,6,1,0,0,0,0,3,0,10,2
2020-10-19,H988578,0,8,0,1,0,8,0,0,0,0,0,3,0,8,2
2020-10-19,H988600,0,2,0,5,0,21,0,0,0,0,0,4,0,21,0
2020-10-19,H988607,0,3,0,2,2,45,3,0,0,0,0,3,0,32,2
2020-10-19,H988610,0,13,0,7,3,30,1,0,0,0,0,1,0,34,3
2020-10-19,H988625,0,3,0,3,0,16,0,0,0,0,0,4,0,11,3
2020-10-19,H988626,0,11,1,12,0,94,0,0,0,0,0,4,0,69,8
2020-10-19,H988628,0,6,0,1,0,10,0,0,0,0,0,1,0,13,0
2020-10-19,H988644,0,16,2,12,1,39,1,0,0,0,0,3,0,47,9
2020-10-19,H988668,0,2,0,2,0,17,0,0,0,0,0,1,0,8,1
2020-10-20,H988571,0,0,0,2,0,8,1,0,0,0,0,1,0,11,1
2020-10-20,H988575,0,7,0,1,0,34,1,0,0,0,0,1,0,39,0
2020-10-20,H988578,0,2,1,7,0,5,1,0,0,0,0,4,0,12,1
2020-10-20,H988588,0,6,1,10,0,88,0,0,0,0,0,5,0,88,7
2020-10-20,H988600,0,3,0,3,0,16,0,0,0,0,0,7,0,26,3
2020-10-20,H988607,0,0,0,0,0,7,1,0,0,0,0,1,0,8,1
2020-10-20,H988610,0,19,0,7,0,41,0,0,0,0,0,1,0,36,6
2020-10-20,H988625,0,3,0,0,0,8,0,0,0,0,0,4,0,2,1
2020-10-20,H988626,0,16,1,11,1,101,0,0,0,0,0,4,0,90,9
2020-10-20,H988628,0,7,0,3,0,13,0,0,0,0,0,7,0,19,3
2020-10-20,H988630,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2020-10-20,H988644,0,6,0,0,0,14,0,0,0,0,0,3,0,7,1
2020-10-20,H988645,0,6,0,27,0,2,0,0,0,0,0,0,0,38,5
2020-10-20,H988650,0,1,0,0,0,5,0,0,0,0,0,5,0,7,1
2020-10-20,H988652,0,13,2,0,0,0,0,0,0,0,0,2,0,17,2
2020-10-20,H988668,0,2,0,6,1,30,2,0,0,0,0,3,0,13,3
2020-10-21,H988571,0,2,0,1,0,9,0,0,0,0,0,1,0,17,1
2020-10-21,H988575,0,1,0,6,0,22,2,0,0,0,0,1,0,31,1
2020-10-21,H988578,0,2,0,6,0,6,0,0,0,0,0,3,0,11,0
2020-10-21,H988588,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0
2020-10-21,H988600,0,3,0,1,0,7,0,0,0,0,0,4,0,24,1
2020-10-21,H988607,0,3,0,6,0,36,1,0,0,0,0,3,0,46,3
2020-10-21,H988610,0,14,0,11,0,28,4,0,0,0,0,1,0,31,0
2020-10-21,H988625,0,0,0,3,0,12,0,0,0,0,0,6,0,5,0
2020-10-21,H988626,0,13,1,13,1,63,0,0,0,0,0,1,0,91,9
2020-10-21,H988628,0,6,0,3,0,6,1,0,0,0,0,4,0,19,2
2020-10-21,H988630,0,6,1,1,0,24,4,0,0,0,0,1,0,22,2
2020-10-21,H988644,0,17,0,3,1,33,2,0,0,0,0,3,0,37,8
2020-10-21,H988645,0,6,1,13,2,7,0,0,0,0,0,4,0,22,4
2020-10-21,H988650,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-21,H988652,0,39,2,0,0,0,0,0,0,0,0,3,0,58,10
2020-10-21,H988668,0,1,0,9,0,36,0,0,0,0,0,4,0,16,5
2020-10-22,H988571,0,0,0,4,0,14,0,0,0,0,0,1,0,16,0
2020-10-22,H988573,0,3,1,7,1,17,0,0,0,0,0,2,0,19,1
2020-10-22,H988575,0,12,0,2,0,16,3,0,0,0,0,1,0,22,0
2020-10-22,H988578,0,3,0,2,0,6,0,0,0,0,0,4,0,9,2
2020-10-22,H988588,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-10-22,H988600,0,3,0,3,0,19,0,0,0,0,0,5,0,4,0
2020-10-22,H988607,0,3,0,2,0,12,0,0,0,0,0,4,0,13,0
2020-10-22,H988610,0,11,0,2,0,14,1,0,0,0,0,1,0,5,2
2020-10-22,H988625,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0
2020-10-22,H988626,0,15,0,5,1,32,0,0,0,0,0,1,0,55,7
2020-10-22,H988628,0,5,0,3,0,11,0,0,0,0,0,5,0,18,1
2020-10-22,H988630,0,0,0,0,0,6,4,0,0,0,0,1,0,9,0
2020-10-22,H988644,0,16,2,3,0,19,0,0,0,0,0,3,0,25,4
2020-10-22,H988645,0,4,0,7,0,1,0,0,0,0,0,3,0,6,0
2020-10-22,H988652,0,11,0,0,0,0,0,0,0,0,0,3,0,15,1
2020-10-22,H988668,0,1,0,1,0,19,0,0,0,0,0,4,0,8,3
2020-10-23,H988571,0,2,0,0,0,9,1,0,0,0,0,1,0,19,3
2020-10-23,H988573,0,5,0,12,0,30,0,0,0,0,0,2,0,47,1
2020-10-23,H988575,0,11,4,0,0,37,0,0,0,0,0,1,0,37,2
2020-10-23,H988578,0,3,0,6,0,8,0,0,0,0,0,4,0,16,2
2020-10-23,H988588,0,3,0,2,0,19,1,0,0,0,0,1,0,22,0
2020-10-23,H988600,0,3,0,3,2,11,0,0,0,0,0,4,0,19,3
2020-10-23,H988607,0,3,0,0,0,20,0,0,0,0,0,1,0,26,4
2020-10-23,H988610,0,17,0,2,0,37,4,0,0,0,0,1,0,40,1
2020-10-23,H988625,0,3,0,7,1,0,0,0,0,0,0,0,0,6,1
2020-10-23,H988626,0,6,0,9,2,64,0,0,0,0,0,5,0,78,5
2020-10-23,H988628,0,6,1,0,1,13,0,0,0,0,0,4,0,15,2
2020-10-23,H988630,0,5,0,0,0,18,2,0,0,0,0,1,0,18,0
2020-10-23,H988644,0,12,2,3,0,15,0,0,0,0,0,3,0,30,3
2020-10-23,H988645,0,2,0,45,1,0,0,0,0,0,0,1,0,59,3
2020-10-23,H988652,0,31,5,0,0,0,0,0,0,0,0,3,0,50,2
2020-10-23,H988668,0,1,0,8,0,20,1,0,0,0,0,5,0,16,3
2020-10-23,H988670,0,27,2,2,0,66,0,0,0,0,0,1,0,40,4
2020-10-24,H988571,0,2,0,3,0,20,0,0,0,0,0,1,0,33,2
2020-10-24,H988573,0,12,0,24,1,47,1,0,0,0,0,0,0,134,6
2020-10-24,H988575,0,10,1,2,0,24,1,0,0,0,0,3,0,33,5
2020-10-24,H988578,0,3,0,6,0,11,0,0,0,0,0,3,0,6,2
2020-10-24,H988588,0,13,1,6,1,72,0,0,0,0,0,5,0,93,8
2020-10-24,H988600,0,2,0,4,0,15,0,0,0,0,0,3,0,38,3
2020-10-24,H988607,0,0,0,1,0,21,0,0,0,0,0,2,0,26,2
2020-10-24,H988610,0,23,1,14,1,58,0,0,0,0,0,1,0,51,1
2020-10-24,H988625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2020-10-24,H988626,0,12,1,11,0,55,0,0,0,0,0,4,0,97,6
2020-10-24,H988628,0,5,0,2,0,17,1,0,0,0,0,4,0,18,1
2020-10-24,H988630,0,4,0,0,0,29,0,0,0,0,0,2,0,27,0
2020-10-24,H988644,0,3,0,15,1,4,0,0,0,0,0,3,0,38,3
2020-10-24,H988645,0,2,0,28,1,6,1,0,0,0,0,1,0,35,0
2020-10-24,H988650,0,1,0,0,0,1,1,0,0,0,0,2,0,6,0
2020-10-24,H988652,0,22,0,0,0,0,0,0,0,0,0,3,0,35,2
2020-10-24,H988668,0,1,0,7,0,19,0,0,0,0,0,4,0,16,5
2020-10-24,H988670,0,19,1,4,0,43,1,0,0,0,0,4,0,40,3
2020-10-24,H988684,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
2020-10-25,H988571,0,2,0,1,0,3,1,0,0,0,0,1,0,22,0
2020-10-25,H988575,0,4,0,2,1,0,0,0,0,0,0,4,0,11,1
2020-10-25,H988600,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0
2020-10-25,H988630,0,1,1,0,0,2,0,0,0,0,0,3,0,1,0
2020-10-25,H988644,0,5,0,0,0,3,0,0,0,0,0,3,0,12,2
2020-10-26,H988571,0,2,1,2,0,12,0,0,0,0,0,1,0,18,1
2020-10-26,H988573,0,8,0,15,0,40,0,0,0,0,0,4,0,62,5
2020-10-26,H988575,0,1,0,1,0,25,0,0,0,0,0,1,0,21,2
2020-10-26,H988578,0,4,0,2,4,9,1,0,0,0,0,1,0,20,0
2020-10-26,H988588,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
2020-10-26,H988600,0,3,0,4,0,21,0,0,0,0,0,1,0,26,1
2020-10-26,H988607,0,0,0,0,0,1,0,0,0,0,0,4,0,7,0
2020-10-26,H988610,0,24,2,5,0,55,1,0,0,0,0,1,0,37,5
2020-10-26,H988625,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
2020-10-26,H988626,0,11,0,9,0,90,0,0,0,0,0,6,0,92,8
2020-10-26,H988628,0,14,0,4,0,31,1,0,0,0,0,11,0,39,7
2020-10-26,H988630,0,8,0,0,0,34,2,0,0,0,0,2,0,20,0
2020-10-26,H988644,0,10,3,1,0,8,0,0,0,0,0,1,0,28,3
2020-10-26,H988645,0,3,0,5,0,8,0,0,0,0,0,4,0,16,1
2020-10-26,H988649,0,3,0,5,1,5,1,0,0,0,0,0,0,5,0
2020-10-26,H988650,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-10-26,H988652,0,14,0,0,0,0,0,0,0,0,0,3,0,20,0
2020-10-26,H988668,0,1,0,4,0,36,1,0,0,0,0,4,0,9,1
2020-10-26,H988670,0,13,1,2,0,21,1,0,0,0,0,10,0,10,3
2020-10-26,H988684,0,0,0,0,0,14,0,0,0,0,0,1,0,5,0
2020-10-27,H988571,0,2,1,2,0,6,0,0,0,0,0,1,0,19,1
2020-10-27,H988573,0,11,0,13,0,35,0,0,0,0,0,4,0,61,7
2020-10-27,H988575,0,7,0,0,0,37,3,0,0,0,0,1,0,36,2
2020-10-27,H988578,0,3,0,0,0,13,1,0,0,0,0,3,0,7,0
2020-10-27,H988588,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-10-27,H988600,0,2,0,2,0,16,0,0,0,0,0,6,0,18,1
2020-10-27,H988607,0,1,0,1,0,6,0,0,0,0,0,0,0,5,0
2020-10-27,H988610,0,17,0,7,1,24,2,0,0,0,0,1,0,22,0
2020-10-27,H988626,0,16,0,7,0,91,0,0,0,0,0,4,0,91,7
2020-10-27,H988628,0,9,1,3,2,20,0,0,0,0,0,5,0,34,1
2020-10-27,H988630,0,11,0,0,0,47,1,0,0,0,0,2,0,43,5
2020-10-27,H988644,0,8,0,1,0,17,0,0,0,0,0,3,0,27,3
2020-10-27,H988645,0,1,0,11,0,4,0,0,0,0,0,3,0,11,1
2020-10-27,H988649,0,2,0,2,0,1,0,0,0,0,0,3,0,10,0
2020-10-27,H988650,0,1,0,0,0,0,0,0,0,0,0,1,0,7,2
2020-10-27,H988652,0,6,0,0,0,0,0,0,0,0,0,3,0,12,0
2020-10-27,H988668,0,1,0,2,0,25,0,0,0,0,0,3,0,18,1
2020-10-27,H988670,0,6,0,3,0,11,0,0,0,0,0,10,0,2,0
2020-10-27,H988684,0,0,0,0,0,21,0,0,0,0,0,1,0,7,1
2020-10-28,H988571,0,6,0,3,0,9,0,0,0,0,0,1,0,19,0
2020-10-28,H988573,0,6,0,23,2,49,0,0,0,0,0,0,0,75,5
2020-10-28,H988575,0,2,0,4,0,20,1,0,0,0,0,1,0,30,2
2020-10-28,H988578,0,7,0,6,0,17,0,0,0,0,0,3,0,28,2
2020-10-28,H988588,0,9,0,6,0,68,1,0,0,0,0,0,0,65,3
2020-10-28,H988600,0,2,1,6,0,41,0,0,0,0,0,4,0,28,1
2020-10-28,H988607,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0
2020-10-28,H988610,0,18,0,9,1,60,1,0,0,0,0,1,0,46,5
2020-10-28,H988625,0,11,3,15,1,49,0,0,0,0,0,2,0,61,3
2020-10-28,H988626,0,12,0,7,0,76,0,0,0,0,0,2,0,82,6
2020-10-28,H988628,0,5,0,4,0,21,0,0,0,0,0,5,0,32,1
2020-10-28,H988630,0,10,0,0,0,42,2,0,0,0,0,3,0,54,1
2020-10-28,H988644,0,3,0,1,0,2,0,0,0,0,0,3,0,10,1
2020-10-28,H988645,0,1,0,6,0,0,0,0,0,0,0,3,0,8,2
2020-10-28,H988649,0,2,0,1,0,8,0,0,0,0,0,5,0,5,1
2020-10-28,H988650,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0
2020-10-28,H988652,0,9,0,0,0,0,0,0,0,0,0,3,0,9,2
2020-10-28,H988668,0,1,0,0,0,10,0,0,0,0,0,4,0,1,0
2020-10-28,H988670,0,5,0,1,0,5,0,0,0,0,0,4,0,2,1
2020-10-28,H988684,0,0,0,0,0,19,0,0,0,0,0,1,0,8,0
2020-10-29,H988571,0,4,0,1,0,11,1,0,0,0,0,1,0,20,0
2020-10-29,H988573,0,3,0,16,1,42,0,0,0,0,0,3,0,47,4
2020-10-29,H988575,0,9,0,1,0,32,1,0,0,0,0,1,0,47,1
2020-10-29,H988578,0,1,0,5,0,18,0,0,0,0,0,1,0,10,0
2020-10-29,H988588,0,7,1,1,0,25,0,0,0,0,0,3,0,54,0
2020-10-29,H988600,0,2,0,3,1,16,0,0,0,0,0,4,0,25,1
2020-10-29,H988607,0,0,0,3,0,4,0,0,0,0,0,2,0,8,0
2020-10-29,H988610,0,23,0,13,0,29,3,0,0,0,0,1,0,20,5
2020-10-29,H988625,0,4,0,16,1,30,2,0,0,0,0,5,0,44,5
2020-10-29,H988626,0,14,0,9,0,86,0,0,0,0,0,5,0,88,8
2020-10-29,H988628,0,7,0,2,0,17,0,0,0,0,0,5,0,28,0
2020-10-29,H988630,0,2,0,0,0,10,2,0,0,0,0,7,0,13,0
2020-10-29,H988644,0,6,0,4,0,22,0,0,0,0,0,3,0,30,4
2020-10-29,H988645,0,1,0,2,0,6,1,0,0,0,0,1,0,2,1
2020-10-29,H988649,0,1,0,6,0,2,0,0,0,0,0,3,0,2,0
2020-10-29,H988650,0,0,0,0,0,2,0,0,0,0,0,1,0,9,0
2020-10-29,H988652,0,14,1,0,0,0,0,0,0,0,0,1,0,26,1
2020-10-29,H988668,0,1,0,0,0,6,0,0,0,0,0,4,0,2,0
2020-10-29,H988670,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-30,H988571,0,1,0,0,0,3,1,0,0,0,0,1,0,8,0
2020-10-30,H988573,0,6,0,20,1,54,1,0,0,0,0,1,0,69,9
2020-10-30,H988575,0,20,1,4,1,36,2,0,0,0,0,1,0,41,6
2020-10-30,H988578,0,4,0,8,1,11,1,0,0,0,0,1,0,11,3
2020-10-30,H988588,0,4,0,3,0,18,0,0,0,0,0,1,0,20,0
2020-10-30,H988600,0,4,0,5,0,29,0,0,0,0,0,1,0,41,3
2020-10-30,H988607,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2020-10-30,H988610,0,17,0,10,2,14,1,0,0,0,0,1,0,19,3
2020-10-30,H988625,0,10,0,8,0,10,0,0,0,0,0,5,0,27,0
2020-10-30,H988626,0,5,1,5,0,15,0,0,0,0,0,5,0,22,1
2020-10-30,H988628,0,7,1,3,0,19,0,0,0,0,0,4,0,34,3
2020-10-30,H988630,0,5,0,1,0,27,2,0,0,0,0,2,0,26,1
2020-10-30,H988644,0,7,2,0,0,11,1,0,0,0,0,3,0,18,6
2020-10-30,H988645,0,3,0,27,1,1,0,0,0,0,0,3,0,34,1
2020-10-30,H988649,0,1,0,7,0,2,0,0,0,0,0,7,0,13,0
2020-10-30,H988650,0,3,0,0,0,0,0,0,0,0,0,1,0,12,1
2020-10-30,H988652,0,10,1,1,0,0,0,0,0,0,0,4,0,19,0
2020-10-30,H988668,0,1,0,3,0,31,0,0,0,0,0,3,0,20,1
2020-10-30,H988670,0,10,0,3,0,42,1,0,0,0,0,2,0,28,2
2020-10-31,H988571,0,0,0,2,0,5,1,0,0,0,0,1,0,17,0
2020-10-31,H988573,0,7,0,37,0,90,3,0,0,0,0,2,0,165,11
2020-10-31,H988575,0,11,0,8,0,47,3,0,0,0,0,1,0,54,3
2020-10-31,H988578,0,6,0,4,1,8,0,0,0,0,0,4,0,13,0
2020-10-31,H988588,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
2020-10-31,H988600,0,3,0,3,0,25,0,0,0,0,0,4,0,37,0
2020-10-31,H988607,0,2,0,0,0,1,0,0,0,0,0,2,0,10,0
2020-10-31,H988610,0,24,0,11,0,41,0,0,0,0,0,11,0,47,3
2020-10-31,H988628,0,8,0,4,0,31,0,0,0,0,0,4,0,45,4
2020-10-31,H988630,0,5,1,3,0,45,0,0,0,0,0,1,0,39,2
2020-10-31,H988645,0,8,0,71,4,10,0,0,0,0,0,1,0,101,7
2020-10-31,H988649,0,3,0,11,0,8,0,0,0,0,0,4,0,13,0
2020-10-31,H988652,0,17,1,0,0,3,0,0,0,0,0,3,0,28,2
2020-10-31,H988670,0,8,0,1,0,35,0,0,0,0,0,4,0,24,1
2020-11-01,H988571,0,0,0,0,0,1,1,0,0,0,0,1,0,13,0
2020-11-01,H988573,0,2,0,19,0,54,1,0,0,0,0,4,0,87,3
2020-11-01,H988575,0,7,0,3,0,28,4,0,0,0,0,1,0,43,2
2020-11-01,H988600,0,2,0,0,0,9,0,0,0,0,0,1,0,23,5
2020-11-01,H988607,0,0,0,0,0,10,0,0,0,0,0,1,0,15,2
2020-11-01,H988625,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
2020-11-01,H988644,0,9,0,0,0,4,0,0,0,0,0,3,0,15,2
2020-11-01,H988645,0,2,0,28,0,0,0,0,0,0,0,3,0,34,7
2020-11-01,H988649,0,1,0,7,2,2,0,0,0,0,0,1,0,11,0
2020-11-01,H988650,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0
2020-11-01,H988652,0,4,0,0,0,0,1,0,0,0,0,3,0,11,0
2020-11-02,H988571,0,2,0,1,0,2,0,0,0,0,0,1,0,3,1
2020-11-02,H988573,0,27,0,20,0,42,0,0,0,0,0,5,0,86,7
2020-11-02,H988575,0,3,0,9,0,27,1,0,0,0,0,3,0,33,3
2020-11-02,H988578,0,2,3,11,0,28,1,0,0,0,0,4,0,40,0
2020-11-02,H988588,0,1,0,0,0,4,0,0,0,0,0,1,0,11,1
2020-11-02,H988600,0,3,0,8,0,36,0,0,0,0,0,2,0,23,2
2020-11-02,H988625,0,2,0,0,0,3,0,0,0,0,0,3,0,10,0
2020-11-02,H988626,0,1,0,1,0,7,0,0,0,0,0,1,0,0,0
2020-11-02,H988628,0,10,0,5,0,35,0,0,0,0,0,7,0,37,2
2020-11-02,H988630,0,8,0,1,0,25,2,0,0,0,0,1,0,28,6
2020-11-02,H988644,0,5,0,7,0,6,1,0,0,0,0,3,0,14,6
2020-11-02,H988645,0,2,0,26,5,7,0,0,0,0,0,1,0,26,8
2020-11-02,H988649,0,5,0,5,0,3,0,0,0,0,0,3,0,10,2
2020-11-02,H988650,0,9,0,0,0,3,0,0,0,0,0,1,0,7,2
2020-11-02,H988652,0,7,1,0,0,1,0,0,0,0,0,2,0,16,5
2020-11-02,H988668,0,3,0,4,0,39,1,0,0,0,0,3,0,9,3
2020-11-02,H988670,0,6,1,8,0,56,4,0,0,0,0,4,0,6,0
2020-11-02,H988684,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
2020-11-03,H988571,0,1,0,0,0,8,0,0,0,0,0,1,0,12,1
2020-11-03,H988573,0,6,0,16,0,70,1,0,0,0,0,4,0,95,4
2020-11-03,H988575,0,9,0,2,0,49,1,0,0,0,0,1,0,43,5
2020-11-03,H988578,0,1,1,1,0,5,0,0,0,0,0,3,0,5,1
2020-11-03,H988588,0,14,0,1,0,68,1,0,0,0,0,2,0,82,6
2020-11-03,H988600,0,3,0,6,0,31,0,0,0,0,0,5,0,28,3
2020-11-03,H988607,0,3,0,4,1,25,4,0,0,0,0,4,0,21,0
